codigo_fns	codigo_interno	descripcion	ambulatorio	urgencia	hospitalizado
301045	30104500	Hemograma(incluyerecuentosdeleucocitosyeritrocitos,hemoglobina,hematocrito,formulaleucocitaria,caracteristicasdeloselementosfiguradosyvelocidaddeeritrosedimentacion)	4110	4932	6165
301050	30105000	Isoinmunizacion, deteccion de anticuerpos irregulares (proc. aut.).	469	5628	7035
301059	30105900	Tiempo de protrombina (incluye INR, Razon Internacional Normalizada)	206	2472	309
301062	30106200	Recuento de basofilos (absoluto)	134	1608	201
301063	30106300	Recuento de eosinofilos (absoluto)	136	1632	204
301064	30106400	Recuento de eritrocitos, absoluto (proc. aut.)	990	1188	1485
301065	30106500	Recuento de leucocitos, absoluto (proc. aut.)	980	1176	147
301066	30106600	Recuento de linfocitos (absoluto)	166	1992	249
301067	30106700	Recuento de plaquetas (absoluto)	173	2076	2595
301068	30106800	Recuento de reticulocitos (absoluto o porcentual)	134	1608	201
301069	30106900	Recuento diferencial o formula leucocitaria (proc. aut.)	266	3192	399
301072	30107200	Tiempo de sangria (no incluye dispositivo asociado)	206	2472	309
301082	30108200	Transferrina	73	876	1095
301083	30108300	Trombina, tiempo de	259	3108	3885
301085	30108500	Tromboplastina, tiempo parcial de (TTPA, TTPK o similares)	325	39	4875
301086	30108600	Velocidad de eritrosedimentacion (proc. aut.)	740	888	111
301089	30108900	Factor Von Willebrand antigenico (FVW:Ag)	1261	15132	18915
301091	30109100	Proteina C	3906	46872	5859
301092	30109200	Proteina S	4546	54552	6819
301093	30109300	Resistencia a la Proteina C activada	291	3492	4365
301095	30109500	Dimero-D	1477	17724	22155
302001	30200100	Cuerpos cetonicos en sangre	12	144	18
302004	30200400	Lactato en sangre	528	6336	792
302005	30200500	Acido urico, en sangre	21	252	315
302008	30200800	Amilasa, en sangre	33	396	495
302009	30200900	Aminoacidos, cualitativo en sangre	843	10116	12645
302010	30201000	Amonio	31	372	465
302070	30207000	Apolipoproteinas (A1, B u otras)	918	11016	1377
302011	30201100	Bicarbonato (proc. aut.)	910	1092	1365
302012	30201200	Bilirrubina total (proc. aut.)	197	2364	2955
302013	30201300	Bilirrubina total y conjugada	2	24	3
302015	30201500	Calcio en sangre	186	2232	279
302017	30201700	Caroteno	293	3516	4395
302018	30201800	Caroteno,pruebadesobrecargade,ademas2codigos03-07-011o03-07-
012.	6620	7944	9930
302019	30201900	Ceruloplasmina	482	5784	723
302020	30202000	Cobre en sangre	23	276	345
302067	30206700	Colesterol total (proc. aut.)	189	2268	2835
302068	30206800	Colesterol HDL (proc. aut.)	277	3324	4155
302021	30202100	Colinesterasa en suero o plasma	411	4932	6165
302023	30202300	Creatinina en sangre	181	2172	2715
302024	30202400	Clearance de creatinina (proc.aut.)	406	4872	609
302025	30202500	Creatinquinasa CK - MB  miocardica	68	816	102
302026	30202600	Creatinquinasa CK - total	502	6024	753
302027	30202700	Troponina	1402	16824	2103
302030	30203000	Deshidrogenasa lactica total (LDH)	307	3684	4605
302032	30203200	Electrolitos plasmaticos (sodio, potasio, cloro) c/u	171	2052	2565
302034	30203400	Perfillipidico(incluyemedicionesdecolesteroltotal,HDL-colesterolytrigliceridosconestimacionesporformuladeLDL-colesterol,VLDL-colesterolycolesterolno-HDL)	8610	10332	12915
302035	30203500	Farmacosy/odrogas;nivelesplasmaticosde(alcohol,anorexigenos,antiarritmicos,antibioticos,antidepresivos,antiepilepticos,antihistaminicos,antiinflamatoriosyanalgesicos,estimulantesrespiratorios,tranquilizantesmayoresymenores,etc.)c/u	7970	9564	11955
302036	30203600	Fenilalanina	318	3816	477
302040	30204000	Fosfatasas alcalinas totales	181	2172	2715
302042	30204200	Fosforo (fosfatos) en sangre	243	2916	3645
302045	30204500	Gamma glutamiltranspeptidasa (GGT)	31	372	465
302046	30204600	Gasesyequilibrioacidobaseensangre(incluye:pH,O2,CO2,excesodebaseybicarbonato),todosocadaunodelosparametros	5180	6216	7770
302047	30204700	Glucosa en sangre	173	2076	2595
302048	30204800	Glucosa,PruebadeToleranciaalaGlucosaOral(PTGO),(dosdeterminaciones;noincluyelaglucosaqueseadministra;incluyeelvalordelasdostomasdemuestras)	8020	9624	12030
302050	30205000	Adenosindeaminasa en sangre u otro fluido biologico.	667	8004	10005
302053	30205300	Lipasa en sangre	344	4128	516
302055	30205500	Litio en sangre	411	4932	6165
302056	30205600	Magnesio en sangre	411	4932	6165
302057	30205700	Nitrogeno ureico y/o urea, en sangre	179	2148	2685
302075	30207500	Perfil Bioquimico (determinacion automatizada de 12 parametros)	1163	13956	17445
302060	30206000	Proteinas totales o albuminas, c/u, en sangre	202	2424	303
302061	30206100	Proteinas, electroforesis (incluye cod. 03-02-060)	869	10428	13035
302076	30207600	PerfilHepatico(incluyetiempodeprotrombina,bilirrubinatotalyconjugada,fosfatasasalcalinastotales,GGT,transaminasasGOT/ASTyGPT/ALT)	14430	17316	21645
302063	30206300	Transaminasas, oxalacetica (GOT/AST), Piruvica (GPT/ALT), c/u	256	3072	384
302064	30206400	Trigliceridos en sangre (proc.aut.)	245	294	3675
302077	30207700	Vitamina B12 por inmunoensayo	1013	12156	15195
302078	30207800	25 OH Vitamina D Total por inmunoensayo	2078	24936	3117
302081	30208100	Calcioionico.IncluyemediciondepHmetodoionselectivo.NoincluyePointofCareTestingPOCT	3140	3768	4710
302082	30208200	Fenilalanina Cuantitativa en Gotas de Sangre Seca	1138	13656	1707
303001	30300100	Adenocorticotrofina (ACTH)	1139	13668	17085
303002	30300200	Aldosterona	978	11736	1467
303003	30300300	Androstenediona	741	8892	11115
303004	30300400	Angiotensina	942	11304	1413
303006	30300600	Cortisol	741	8892	11115
303007	30300700	Crecimiento, hormona de (HGH) (somatotrofina)	978	11736	1467
303008	30300800	Dehidroepiandrosterona sulfato (DHEA-S)	963	11556	14445
303012	30301200	Gastrina	978	11736	1467
303014	30301400	Gonadotrofina corionica, sub-unidad beta (cuantificacion)	72	864	108
303015	30301500	Hormona foliculo estimulante (FSH)	72	864	108
303016	30301600	Hormona luteinizante (LH)	72	864	108
303047	30304700	IGF1 o Somatomedina - C (Insuline Like Growth Factor)	171	2052	2565
303017	30301700	Insulina	707	8484	10605
303031	30303100	Insulina,curvade(minimodosdeterminacioneseincluyetodaslastomasdemuestranecesarias.Noincluyelaglucosaqueseadministra)	19070	22884	28605
303018	30301800	Parathormona, hormona Paratiroidea o PTH.	1114	13368	1671
303019	30301900	Progesterona	72	864	108
303020	30302000	Prolactina (PRL)	72	864	108
303021	30302100	Renina	1035	1242	15525
303046	30304600	SHBG (Sex-Hormone Binding Globulin)	1682	20184	2523
303022	30302200	Testosterona en sangre	741	8892	11115
303023	30302300	Testosterona libre en sangre	866	10392	1299
303123	30312300	Indice androgenico (incluye Testosterona Total y SHBG)	1787	21444	26805
303024	30302400	Tiroestimulante (TSH), hormona (Adulto, nino o R.N.)	626	7512	939
303025	30302500	Tiroglobulina	978	11736	1467
303026	30302600	Tiroxina libre (T4L)	72	864	108
303027	30302700	Tiroxina o tetrayodotironina (T4)	626	7512	939
303028	30302800	Triyodotironina (T3)	626	7512	939
303029	30302900	17 - Hidroxiprogesterona	978	11736	1467
303030	30303000	Estradiol (17-Beta)	707	8484	10605
303049	30304900	Catecolaminasensangre(incluyemediciondeAdrenalina,Noradrenalinay
Dopaminaporseparadopormetodoscromatograficos)	46190	55428	69285
303033	30303300	Angiotensina	88	1056	132
303035	30303500	Cortisol libre urinario	782	9384	1173
303039	30303900	Gonadotrofinacorionica,sub-unidadBeta;titulacionpor(Elisa;RIAoIRMA;Quimioluminiscenciauotratecnica)	7410	8892	11115
303050	30305000	Metanefrinasurinarias(incluyedeterminaciondeMetanefrinay
Normetanefrinaporseparadopormetodoscromatograficos)	52240	62688	78360
303051	30305100	Catecolaminasurinarias(incluyemediciondeAdrenalina,Noradrenalinay
Dopaminaporseparadopormetodoscromatograficos)	44910	53892	67365
305001	30500100	Alfa -1- antitripsina cuantitativa	741	8892	11115
305002	30500200	Alfa -2- macroglobulina	736	8832	1104
305003	30500300	Alfa fetoproteinas	72	864	108
305004	30500400	TamizajedeAnticuerposantiantigenosnuclearesextractables(a-ENA:Sm,RNP,Ro,La,Scl-70yJo-1)	14290	17148	21435
305005	30500500	Anticuerposantinucleares(ANA),antimitocondriales,antiDNA(ADNA),antimusculoliso,anticentromero,uotros,c/u.	10030	12036	15045
305007	30500700	Anticuerposespecificosyotrosautoanticuerpos(anticuerposantitiroideos:anticuerposantimicrosomalesyantitiroglobulinasyotrosanticuerpos:prostatico,espermios,etc.)c/u	8050	9660	12075
305008	30500800	Antiestreptolisina O, por tecnica de latex	646	7752	969
305009	30500900	Antigeno carcinoembrionario (CEA)	978	11736	1467
305070	30507000	Antigeno prostatico especifico	1258	15096	1887
305170	30517000	Antigeno Ca 125, Ca 15-3 y Ca 19-9, c/u	1277	15324	19155
305010	30501000	Beta-2-microglobulina	1006	12072	1509
305012	30501200	Complemento C1Q, C2, C3, C4, etc., c/u	646	7752	969
305019	30501900	Factor reumatoideo por tecnica de latex u otras similares	37	444	555
305020	30502000	FactorreumatoideoportecnicadeScat,WaalerRose,nefelometricasy/oturbidimetricas	6370	7644	9555
305025	30502500	Inmunofijacion de inmunoglobulina, c/u	1149	13788	17235
305026	30502600	Inmunoglobulina IgA secretora	608	7296	912
305027	30502700	Inmunoglobulinas IgA, IgG, IgM, c/u	646	7752	969
305028	30502800	Inmunoglobulinas IgE, IgD total, c/u	741	8892	11115
305029	30502900	Inmunoglobulinas IgE, IgG especificas, c/u	73	876	1095
305030	30503000	Proteina C reactiva por tecnica de latex u otras similares	606	7272	909
305031	30503100	Proteina C reactiva por tecnicas automatizadas	838	10056	1257
305081	30508100	Anticuerpoantiendomisio(EMA,antimembranabasalglomerular(GBM),antireticulina,porIFIc/u.	15060	18072	22590
305181	30518100	Anticuerpos antitransglutaminasa (TTG)	1528	18336	2292
305082	30508200	Anticuerpos anticitoplasma de neutrofilos (ANCA), C-ANCA y P-ANCA, por IFI	2242	26904	3363
305083	30508300	Determinaciondeisotiposdeanticuerposanticitoplasmadeneutrofilos(G-M-A-C'3),porIFI,c/u.	10320	12384	15480
305084	30508400	Anticuerpos anticardiolipinas por Elisa (isotipos G -M-A), c/u.	1712	20544	2568
305085	30508500	Anticuerpos anti LKM-1	2923	35076	43845
305086	30508600	Anticuerpos contra peptidos deaminados de gliadina IgG e IgA	1462	17544	2193
305091	30509100	Linfocitos T (CD3, CD4, CD8). Tecnica Citometria de Flujo	3664	43968	5496
305092	30509200	Natural Killers (CD16, CD 56). Tecnica Citometria de Flujo	356	4272	534
306002	30600200	Baciloscopia Ziehl-Neelsen, c/u	238	2856	357
306004	30600400	Examen directo al fresco, c/s tincion (incluye trichomonas)	206	2472	309
306005	30600500	Tincion de Gram	910	1092	1365
306006	30600600	Ultramicroscopia (incluye toma de muestras)	667	8004	10005
306007	30600700	Coprocultivo, c/u	573	6876	8595
306008	30600800	Cultivo corriente (excepto coprocultivo, hemocultivo y urocultivo) c/u	474	5688	711
306011	30601100	Urocultivo,recuentodecoloniasyantibiograma(cualquiertecnica)(incluyetomadeorinaasepticayfrascorecolector)(noincluyerecolectorpediatriconisonda)	4990	5988	7485
306091	30609100	Hemocultivo aerobico automatizado con antibiograma	2344	28128	3516
306012	30601200	Cultivo para Anaerobios (incluye Cod. 03-06-008)	992	11904	1488
306014	30601400	Cultivo para Campylobacter, Yersinia, Vibrio, c/u	667	8004	10005
306016	30601600	Neisseria gonorrhoeae (gonococo)	41	492	615
306017	30601700	Cultivo para Levaduras	371	4452	5565
306117	30611700	Cultivo para hongos filamentosos	421	5052	6315
306018	30601800	Cultivo para micobacterias (incluye bacilo de Koch)	598	7176	897
306023	30602300	Cultivo mycoplasma y ureaplasma, c/u.	846	10152	1269
306026	30602600	AntibiogramaCorriente(minimo10farmacos)(encasodeurocultivonocorrespondesucobro;incluidoenelvalor03-06-011)	3710	4452	5565
306027	30602700	Antibiogramadeestudiodesensibilidadpordilucion(CIM)(minimo6farmacos)(encasodeurocultivo,nocorrespondesucobro;incluidoenelvalorcodigo03-06-011)	10560	12672	15840
306090	30609000	Test rapido de deteccion de streptococcus.	762	9144	1143
306097	30609700	Chlamydia Trachomatis deteccion por tecnica de biologia molecular	3659	43908	54885
306034	30603400	Clamidias por inmunofluorescencia, peroxidasa, Elisa o similares	749	8988	11235
306036	30603600	Mononucleosis, reaccion de Paul Bunnell, Anticuerpos Heterofilos o similares	33	396	495
306037	30603700	Mycoplasma IgG, IgM, c/u.	68	816	102
306038	30603800	R.P.R.	358	4296	537
306039	30603900	Tificas, reacciones de aglutinacion (Eberth H y O, paratyphi A y B) (Widal)	491	5892	7365
306041	30604100	Treponema pallidum FTA - ABS, MHA-TP c/u	677	8124	10155
306042	30604200	V.D.R.L.	419	5028	6285
306043	30604300	Artropodosmacroscopicosymicroscopicos(imagosy/opupasy/olarvas),diagnosticode	4100	4920	6150
306045	30604500	CoproparasitarioseriadocontecnicaparaCryptosporidiumspoparaDiantamoebafragilis(incluyeloscodigos03-06-048y/o03-06-059masaplicaciondetecnicadefrotiscontinciontricromicaotincionZiehl-Neelsenenporlomenos3muestras,seguncorresponda)	11780	14136	17670
306046	30604600	Coproparasitarioseriadoparafasciolahepatica(incluyediagnosticodegusanosmacroscopicosyexamenmicroscopicode10muestraspormetododeTelemannysimultaneamenteportecnicadeSedimentacionrapida(CopaConica)	26400	31680	39600
306047	30604700	CoproparasitarioseriadoparaIsosporaySarcocystis(incluyediagnosticodegusanosmacroscopicosyexamenmicroscopicode3muestrasseparadas)	6450	7740	9675
306048	30604800	Coproparasitologicoseriadosimple(incluyediagnosticodegusanosmacroscopicosyexamenmicroscopicoporconcentraciondetresmuestrasseparadasmetodoTelemann)(proc.aut.)	4110	4932	6165
306051	30605100	Graham,examende(incluyediagnosticodegusanosmacroscopicosyexamenmicroscopicode5muestrasseparadas)	2900	3480	4350
306052	30605200	Estudio de gusanos macroscopicos	238	2856	357
306053	30605300	Hemoparasitos,diagnosticomicroscopicode(minimo10frotisy/ogotasgruesas,c/sexamendirectoalfresco),cadasesion	12270	14724	18405
306054	30605400	Hemoparasitos,diagnosticoportecnicadeMicrostroutosimilarenhasta10tuboscapilares,cadasesion(Chagas)	15280	18336	22920
306056	30605600	Raspadodepiel,examenmicroscopicode("Acarotest"):de6a10preparaciones	5500	6600	8250
306059	30605900	Coproparasitologicoseriadosimple(incluyediagnosticodegusanosmacroscopicosyexamenmicroscopicoporconcentraciondetresmuestrasseparadasmetodoPAFS)(proc.aut.)	5470	6564	8205
306061	30606100	ParasitosIgG/IgM(Chagas,Hidatidosis,ToxocariasisyotrosporElisao
Inmunofluorescencia),c/u	7500	9000	11250
306066	30606600	Inmunofluorescenciaindirecta(toxoplasmosis,Chagas,amebiasisyotras),c/u	7940	9528	11910
306096	30609600	Parasitos: test rapido anticuerpos (Chagas y otros)	1478	17736	2217
306068	30606800	Aislamientodevirus(Adenovirus,Citomegalovirus,Enterovirus,Herpes,Influenza,Polio,Sarampionyotros),c/u	9920	11904	14880
306069	30606900	Anticuerposvirales,determ.de(adenovirus,citomegalovirus,herpessimple,rubeola,influenzaAyB;virusvaricela-zoster;virussincicialrespiratorio;parainfluenza1,2y3;EpsteinBarryotros),c/u	7820	9384	11730
306169	30616900	Anticuerpos virales, determ. de H.I.V.	746	8952	1119
306070	30607000	Antigenosviralesdeterm.de(adenovirus,citomegalovirus,herpessimple,rubeola,influenzayotros),(porcualquiertecnicaej:inmunofluorescencia),c/u	7280	8736	10920
306170	30617000	Antigenos virales determ. de rotavirus, por cualquier tecnica	707	8484	10605
306270	30627000	Antigenos virales determ. de virus sincicial, por cualquier tecnica	771	9252	11565
306074	30607400	Virus Hepatitis A, anticuerpos IgG, IgM o totales c/u	1058	12696	1587
306075	30607500	Virus hepatitis B, anticuerpo del antigeno E del	939	11268	14085
306078	30607800	Virus hepatitis B, antigeno E del (HBEAg)	939	11268	14085
306079	30607900	Virus hepatitis B, antigeno de superficie (HBsAg)	731	8772	10965
306080	30608000	Virus hepatitis B, anticore IgM del (anti HBc IgM)	1013	12156	15195
306081	30608100	Virus hepatitis C, anticuerpos de (anti HCV)	1123	13476	16845
306082	30608200	ReacciondePolimerasaencadena(P.C.R.),virusInfluenza,virusHerpes,citomegalovirus,hepatitisC,mycobacteriaTBC,c/u(incluyetomamuestrahisopadonasofaringeo).	28080	33696	42120
307009	30700900	Arterial en adultos	168	2016	252
307010	30701000	Arterial en ninos y lactantes	238	2856	357
307011	30701100	Venosa en adultos	115	138	1725
307012	30701200	Venosa en ninos y lactantes	114	1368	171
307013	30701300	Con tecnica aseptica para hemocultivo automatizado, c/u, no incluye frasco	186	2232	279
307014	30701400	Capilar ( adultos, ninos y lactantes )	980	1176	147
307023	30702300	Aspirados nasofaringeo para adulto y nino.	312	3744	468
308001	30800100	Azucares reductores (Benedict-Fehling o similar)	157	1884	2355
308003	30800300	Grasas neutras (Sudan III)	910	1092	1365
308004	30800400	Hemorragiasocultas,(bencidina,guayacootestdeWeberysimilares),cualquiermetodo,c/muestra	1630	1956	2445
308005	30800500	Leucocitos fecales	163	1956	2445
308006	30800600	pH en deposiciones	910	1092	1365
308010	30801000	Citologicoc/stincion(incluyeexamenalfresco,recuentocelularycitologicoporcentual)	4350	5220	6525
308011	30801100	Directo al fresco c/s tincion, (incluye trichomonas)	206	2472	309
308012	30801200	Electrolitos(sodio,potasio,cloro),enexudados,secrecionesyotrosliquidos,c/u	2060	2472	3090
308013	30801300	Eosinofilos en secreciones	114	1368	171
308014	30801400	Fisico-quimico (incluye aspecto, color, pH, glucosa, proteina, Pandy y filancia)	352	4224	528
308015	30801500	Glucosa en exudados, secreciones y otros liquidos	910	1092	1365
308017	30801700	pH en exudados, secreciones y otros liquidos (proc. aut.)	980	1176	147
308018	30801800	Proteinas totales o albumina (proc. aut.) c/u	211	2532	3165
308019	30801900	Proteinas,electroforesisde(incluyeproteinastotales)enotrosliquidosbiologicos	8690	10428	13035
308022	30802200	Indice IgG/albumina (incluye determ. de IgG y albumina en L.C.R. y suero)	1787	21444	26805
308033	30803300	Celulas anaranjadas (proc. aut.)	910	1092	1365
308035	30803500	Creatinina en exudados, secreciones y otros liquidos (proc. aut.)	163	1956	2445
308037	30803700	Indice de bilirrubina (prueba de Liley)	203	2436	3045
308039	30803900	Madurezfetalcompleta(fisico;celulasanaranjadas,bilirrubina,testde
Clements,creatinina,contaminantes)	8240	9888	12360
308040	30804000	Test de Clements (proc. aut.)	166	1992	249
308044	30804400	Flujovaginalosecrecionuretral,estudiode(incluyetomademuestraycodigos03-06-004,03-06-005,03-06-008,03-06-017y03-06-026)	10770	12924	16155
309001	30900100	Acido ascorbico	325	39	4875
309002	30900200	Acido delta aminolevulinico	646	7752	969
309004	30900400	Acido urico en orina (cuantitativo)	293	3516	4395
309005	30900500	Acido 5 hidroxiindolacetico cuantitativo	688	8256	1032
309006	30900600	Amilasa cuantitativa en orina	36	432	54
309007	30900700	Aminoacidos en orina (cualitativo)(excepto fenilalanina, PKU)	72	864	108
309008	30900800	Calcio cuantitativo en orina	27	324	405
309009	30900900	Calculo urinario (examen fisico y quimico)	608	7296	912
309010	30901000	Creatinina cuantitativa en orina	206	2472	309
309011	30901100	Cuerpos cetonicos	213	2556	3195
309012	30901200	Electrolitos (sodio, potasio, cloro) c/u, en orina	211	2532	3165
309013	30901300	Microalbuminuria cuantitativa	392	4704	588
309014	30901400	Gonadotrofina corionica, sub-unidad beta en orina (test rapido)	358	4296	537
309015	30901500	Fosforo cuantitativo en orina	27	324	405
309016	30901600	Glucosa (cuantitativo), en orina	186	2232	279
309020	30902000	Nitrogeno ureico o urea en orina (cuantitativo)	114	1368	171
309022	30902200	Orina completa, (incluye cod. 03-09-023 y 03-09-024)	256	3072	384
309023	30902300	Orina,fisico-quimico(aspecto,color,densidad,pH;proteinas,glucosa,cuerposcetonicos,urobilinogeno,bilirrubina,hemoglobinaynitritos,determinacioncualitativaosemicuantitativa)todosocadaunodelosparametros(proc.aut.)	1780	2136	2670
309024	30902400	Sedimento de orina (proc. aut.)	147	1764	2205
309028	30902800	Proteina (cuantitativa), en orina	238	2856	357
309029	30902900	Proteinas de Bence-Jones prueba termica	162	1944	243
401002	40100200	Radiografiadepartesblandas,laringelateral,cavumrinofaringeo(rinofarinx).	13100	15720	19650
401004	40100400	Radiografiadetorax,proyeccioncomplementaria(oblicuas,selectivasuotras)	9440	11328	14160
401008	40100800	Radiografiadetoraxfrontalolateralconequipomovilfueradeldepartamentoderayos.	15250	18300	22875
401009	40100900	Radiografia de torax simple frontal o lateral	1405	1686	21075
401010	40101000	Mamografia bilateral	2992	35904	4488
401110	40111000	Mamografia unilateral	1782	21384	2673
401130	40113000	Mamografia proyeccion complementaria (axilar u otras)	678	8136	1017
401011	40101100	Marcacion preoperatoria de lesiones de la mama	3398	40776	5097
401012	40101200	Radiografia de mama, pieza operatoria	998	11976	1497
401070	40107000	Radiografia de torax frontal y lateral	2582	30984	3873
401013	40101300	Radiografia de Abdomen Simple	1258	15096	1887
401014	40101400	Radiografiadeabdomensimple,proyeccioncomplementaria(lateraly/ooblicua)	9440	11328	14160
401027	40102700	Pielografiadeeliminacionodescendente:incluyerenalyvesicalsimplesprevias,3placaspostinyecciondemediodecontraste,controlesdepieycistografiapreypostmiccional.	58620	70344	87930
401028	40102800	Radiografia renal simple (proc. aut.)	1205	1446	18075
401029	40102900	Radiografia vesical simple o perivesical (proc. aut.)	1038	12456	1557
401030	40103000	Radiografia agujeros opticos, ambos lados	2086	25032	3129
401031	40103100	Radiografiadecavidadesperinasales,orbitas,articulacionestemporomandibulares,huesospropiosdelanariz,malar,maxilar,arcocigomaticoycara	14050	16860	21075
401032	40103200	Radiografia de craneo frontal y lateral	1482	17784	2223
401033	40103300	Radiografia de Craneo proyeccion especial de base de craneo (Towne)	1038	12456	1557
401034	40103400	Radiografia de globo ocular, estudio de cuerpo extrano	2475	297	37125
401035	40103500	Radiografia de oido, uno o ambos	1838	22056	2757
401040	40104000	Radiografia de silla turca frontal y lateral	1726	20712	2589
401042	40104200	Radiografia de columna cervical o atlas-axis (frontal y lateral)	1405	1686	21075
401043	40104300	Radiografia de columna cervical (frontal, lateral y oblicuas)	2506	30072	3759
401044	40104400	Radiografia de columna cervical flexion y  extension (Dinamicas)	1405	1686	21075
401045	40104500	Radiografiadecolumnadorsalodorsolumbarlocalizada,parrillacostaladultos(frontalylateral)	16530	19836	24795
401046	40104600	Radiografiacolumnalumbarolumbosacra(frontal,lateralyfocalizadaenel
5°espacio)	24240	29088	36360
401047	40104700	Radiografia columna lumbar o lumbosacra flexion y  extension (Dinamicas)	2086	25032	3129
401048	40104800	Radiografia columna lumbar o lumbosacra, oblicuas adicionales	1405	1686	21075
401049	40104900	Radiografiadecolumnatotal,panoramicaconfoliograduadofrontalolateral	18850	22620	28275
401051	40105100	Radiografia de pelvis, cadera o coxofemoral	1088	13056	1632
401151	40115100	Radiografiadepelvis,caderaocoxofemoraldeRN,lactanteoninomenorde
6anos.	10880	13056	16320
401052	40105200	Radiografiadepelvis,caderaocoxofemoral,proyeccionesespeciales;(rotacioninterna,abduccion,lateral,Lawensteinuotras)	10380	12456	15570
401053	40105300	Radiografia de Sacrocoxis o articulaciones sacroiliacas.	1565	1878	23475
401054	40105400	Radiografiadebrazo,antebrazo,codo,muneca,mano,dedos,pie(frontalylateral)	12580	15096	18870
401055	40105500	Radiografia de clavicula.	1458	17496	2187
401056	40105600	Radiografia Edad Osea: carpo y mano	1038	12456	1557
401057	40105700	Radiografia Edad osea : rodilla frontal	1038	12456	1557
401058	40105800	Estudio radiologico de escafoides	1565	1878	23475
401059	40105900	Estudio radiologico de muneca o tobillo frontal lateral y oblicuas	1467	17604	22005
401060	40106000	Radiografiadehombro,femur,rodilla,pierna,costillaoesternonFrontaly
Lateral	14670	17604	22005
401062	40106200	RadiografiadeProyeccionesespecialesoblicuasuotrasenhombro,brazo,codo,rodilla,rotulas,sesamoideos,axialdeambasrotulasosimilares	10380	12456	15570
401063	40106300	Radiografia de tunel intercondileo o radio-carpiano	1038	12456	1557
401064	40106400	Apoyofluoroscopicoaprocedimientosintraoperatoriosy/obiopsia(noincluyeelproc.)	11260	13512	16890
402008	40200800	Colangiopancreatografia endoscopica (a.c.18-01-018; 5-7 exp)	4018	48216	6027
402011	40201100	Histerosalpingografia (a.c. 20-01-013) (4 exp.; incluye prueba de Cotte tardia)	3072	36864	4608
403001	40300100	Tomografia Computarizada de craneo encefalica	8866	106392	13299
403002	40300200	Tomografia Computarizada de hipotalamo-hipofisis	988	11856	1482
